train 5232
val 729
test 1486
test_data:  1486
Iter: 0, mse: 0.0043, rmse: 0.0653, mae: 0.0564
Iter: 1, mse: 0.0066, rmse: 0.0814, mae: 0.0701
Iter: 2, mse: 0.0057, rmse: 0.0754, mae: 0.0621
Iter: 3, mse: 0.0074, rmse: 0.0860, mae: 0.0686
Iter: 4, mse: 0.0129, rmse: 0.1137, mae: 0.0942
Iter: 5, mse: 0.0126, rmse: 0.1121, mae: 0.0936
Iter: 6, mse: 0.0116, rmse: 0.1076, mae: 0.0870
Iter: 7, mse: 0.0154, rmse: 0.1241, mae: 0.1039
Iter: 8, mse: 0.0138, rmse: 0.1174, mae: 0.0977
Iter: 9, mse: 0.0059, rmse: 0.0770, mae: 0.0581
Iter: 10, mse: 0.0042, rmse: 0.0646, mae: 0.0491
Iter: 11, mse: 0.0039, rmse: 0.0624, mae: 0.0505
Iter: 12, mse: 0.0038, rmse: 0.0615, mae: 0.0508
Iter: 13, mse: 0.0039, rmse: 0.0627, mae: 0.0521
Iter: 14, mse: 0.0043, rmse: 0.0655, mae: 0.0504
Iter: 15, mse: 0.0048, rmse: 0.0692, mae: 0.0538
Iter: 16, mse: 0.0054, rmse: 0.0735, mae: 0.0577
Iter: 17, mse: 0.0062, rmse: 0.0788, mae: 0.0627
Iter: 18, mse: 0.0084, rmse: 0.0918, mae: 0.0732
Iter: 19, mse: 0.0120, rmse: 0.1096, mae: 0.0892
Iter: 20, mse: 0.0145, rmse: 0.1203, mae: 0.0975
Iter: 21, mse: 0.0144, rmse: 0.1201, mae: 0.0917
Iter: 22, mse: 0.0154, rmse: 0.1239, mae: 0.0907
Iter: 23, mse: 0.0175, rmse: 0.1324, mae: 0.0987
Iter: 24, mse: 0.0190, rmse: 0.1377, mae: 0.1048
Iter: 25, mse: 0.0191, rmse: 0.1383, mae: 0.1031
Iter: 26, mse: 0.0192, rmse: 0.1384, mae: 0.1030
Iter: 27, mse: 0.0202, rmse: 0.1423, mae: 0.1064
Iter: 28, mse: 0.0206, rmse: 0.1434, mae: 0.1080
Iter: 29, mse: 0.0207, rmse: 0.1439, mae: 0.1094
Iter: 30, mse: 0.0210, rmse: 0.1450, mae: 0.1102
Iter: 31, mse: 0.0219, rmse: 0.1481, mae: 0.1144
Iter: 32, mse: 0.0220, rmse: 0.1484, mae: 0.1151
Iter: 33, mse: 0.0211, rmse: 0.1452, mae: 0.1056
Iter: 34, mse: 0.0212, rmse: 0.1456, mae: 0.1058
Iter: 35, mse: 0.0218, rmse: 0.1478, mae: 0.1090
Iter: 36, mse: 0.0223, rmse: 0.1492, mae: 0.1124
Iter: 37, mse: 0.0229, rmse: 0.1515, mae: 0.1152
Iter: 38, mse: 0.0233, rmse: 0.1528, mae: 0.1198
Iter: 39, mse: 0.0236, rmse: 0.1537, mae: 0.1236
Iter: 40, mse: 0.0241, rmse: 0.1553, mae: 0.1265
Iter: 41, mse: 0.0248, rmse: 0.1574, mae: 0.1309
Iter: 42, mse: 0.0250, rmse: 0.1581, mae: 0.1326
Iter: 43, mse: 0.0248, rmse: 0.1574, mae: 0.1323
Iter: 44, mse: 0.0251, rmse: 0.1585, mae: 0.1353
Iter: 45, mse: 0.0238, rmse: 0.1544, mae: 0.1292
Iter: 46, mse: 0.0228, rmse: 0.1509, mae: 0.1266
Iter: 47, mse: 0.0210, rmse: 0.1448, mae: 0.1212
Iter: 48, mse: 0.0192, rmse: 0.1387, mae: 0.1172
Iter: 49, mse: 0.0170, rmse: 0.1302, mae: 0.1119
Iter: 50, mse: 0.0146, rmse: 0.1209, mae: 0.1052
Iter: 51, mse: 0.0122, rmse: 0.1105, mae: 0.0970
Iter: 52, mse: 0.0121, rmse: 0.1100, mae: 0.0974
Iter: 53, mse: 0.0109, rmse: 0.1043, mae: 0.0893
Iter: 54, mse: 0.0117, rmse: 0.1084, mae: 0.0952
Iter: 55, mse: 0.0132, rmse: 0.1149, mae: 0.1028
Iter: 56, mse: 0.0128, rmse: 0.1132, mae: 0.1029
Iter: 57, mse: 0.0118, rmse: 0.1085, mae: 0.0978
Iter: 58, mse: 0.0125, rmse: 0.1116, mae: 0.1016
Iter: 59, mse: 0.0123, rmse: 0.1110, mae: 0.0978
Iter: 60, mse: 0.0126, rmse: 0.1124, mae: 0.1019
Iter: 61, mse: 0.0130, rmse: 0.1141, mae: 0.1034
Iter: 62, mse: 0.0143, rmse: 0.1197, mae: 0.1104
Iter: 63, mse: 0.0182, rmse: 0.1348, mae: 0.1283
Iter: 64, mse: 0.0174, rmse: 0.1319, mae: 0.1241
Iter: 65, mse: 0.0159, rmse: 0.1259, mae: 0.1188
Iter: 66, mse: 0.0188, rmse: 0.1370, mae: 0.1327
Iter: 67, mse: 0.0141, rmse: 0.1189, mae: 0.1074
Iter: 68, mse: 0.0161, rmse: 0.1267, mae: 0.1177
Iter: 69, mse: 0.0138, rmse: 0.1174, mae: 0.1054
Iter: 70, mse: 0.0153, rmse: 0.1237, mae: 0.1119
Iter: 71, mse: 0.0182, rmse: 0.1348, mae: 0.1267
Iter: 72, mse: 0.0152, rmse: 0.1232, mae: 0.1128
Iter: 73, mse: 0.0152, rmse: 0.1234, mae: 0.1144
Iter: 74, mse: 0.0113, rmse: 0.1062, mae: 0.0918
Iter: 75, mse: 0.0126, rmse: 0.1122, mae: 0.1022
Iter: 76, mse: 0.0107, rmse: 0.1035, mae: 0.0906
Iter: 77, mse: 0.0114, rmse: 0.1068, mae: 0.0940
Iter: 78, mse: 0.0143, rmse: 0.1195, mae: 0.1033
Iter: 79, mse: 0.0152, rmse: 0.1231, mae: 0.1082
Iter: 80, mse: 0.0188, rmse: 0.1369, mae: 0.1183
Iter: 81, mse: 0.0174, rmse: 0.1320, mae: 0.1130
Iter: 82, mse: 0.0149, rmse: 0.1219, mae: 0.1050
Iter: 83, mse: 0.0079, rmse: 0.0887, mae: 0.0728
Iter: 84, mse: 0.0074, rmse: 0.0858, mae: 0.0698
Iter: 85, mse: 0.0110, rmse: 0.1048, mae: 0.0912
Iter: 86, mse: 0.0081, rmse: 0.0901, mae: 0.0752
Iter: 87, mse: 0.0076, rmse: 0.0874, mae: 0.0728
Iter: 88, mse: 0.0076, rmse: 0.0869, mae: 0.0735
Iter: 89, mse: 0.0063, rmse: 0.0793, mae: 0.0638
Iter: 90, mse: 0.0057, rmse: 0.0752, mae: 0.0617
Iter: 91, mse: 0.0059, rmse: 0.0766, mae: 0.0618
Iter: 92, mse: 0.0067, rmse: 0.0818, mae: 0.0675
Iter: 93, mse: 0.0069, rmse: 0.0833, mae: 0.0700
Iter: 94, mse: 0.0072, rmse: 0.0846, mae: 0.0724
Iter: 95, mse: 0.0084, rmse: 0.0915, mae: 0.0769
Iter: 96, mse: 0.0089, rmse: 0.0944, mae: 0.0821
Iter: 97, mse: 0.0106, rmse: 0.1031, mae: 0.0911
Iter: 98, mse: 0.0101, rmse: 0.1005, mae: 0.0894
Iter: 99, mse: 0.0088, rmse: 0.0939, mae: 0.0798
Iter: 100, mse: 0.0096, rmse: 0.0981, mae: 0.0839
Iter: 101, mse: 0.0135, rmse: 0.1164, mae: 0.0995
Iter: 102, mse: 0.0132, rmse: 0.1149, mae: 0.0992
Iter: 103, mse: 0.0141, rmse: 0.1189, mae: 0.1051
Iter: 104, mse: 0.0114, rmse: 0.1066, mae: 0.0948
Iter: 105, mse: 0.0147, rmse: 0.1211, mae: 0.1112
Iter: 106, mse: 0.0120, rmse: 0.1097, mae: 0.0983
Iter: 107, mse: 0.0118, rmse: 0.1085, mae: 0.0976
Iter: 108, mse: 0.0122, rmse: 0.1103, mae: 0.1003
Iter: 109, mse: 0.0123, rmse: 0.1107, mae: 0.1012
Iter: 110, mse: 0.0110, rmse: 0.1050, mae: 0.0915
Iter: 111, mse: 0.0119, rmse: 0.1093, mae: 0.0976
Iter: 112, mse: 0.0128, rmse: 0.1131, mae: 0.0978
Iter: 113, mse: 0.0141, rmse: 0.1186, mae: 0.1038
Iter: 114, mse: 0.0149, rmse: 0.1222, mae: 0.1077
Iter: 115, mse: 0.0156, rmse: 0.1251, mae: 0.1111
Iter: 116, mse: 0.0167, rmse: 0.1293, mae: 0.1160
Iter: 117, mse: 0.0181, rmse: 0.1347, mae: 0.1229
Iter: 118, mse: 0.0167, rmse: 0.1294, mae: 0.1133
Iter: 119, mse: 0.0174, rmse: 0.1318, mae: 0.1152
Iter: 120, mse: 0.0172, rmse: 0.1310, mae: 0.1162
Iter: 121, mse: 0.0171, rmse: 0.1306, mae: 0.1162
Iter: 122, mse: 0.0168, rmse: 0.1298, mae: 0.1159
Iter: 123, mse: 0.0170, rmse: 0.1306, mae: 0.1177
Iter: 124, mse: 0.0149, rmse: 0.1220, mae: 0.1072
Iter: 125, mse: 0.0119, rmse: 0.1091, mae: 0.0913
Iter: 126, mse: 0.0112, rmse: 0.1058, mae: 0.0879
Iter: 127, mse: 0.0084, rmse: 0.0916, mae: 0.0728
Iter: 128, mse: 0.0069, rmse: 0.0832, mae: 0.0637
Iter: 129, mse: 0.0054, rmse: 0.0733, mae: 0.0578
Iter: 130, mse: 0.0063, rmse: 0.0796, mae: 0.0616
Iter: 131, mse: 0.0061, rmse: 0.0778, mae: 0.0621
Iter: 132, mse: 0.0051, rmse: 0.0713, mae: 0.0587
Iter: 133, mse: 0.0045, rmse: 0.0667, mae: 0.0549
Iter: 134, mse: 0.0060, rmse: 0.0775, mae: 0.0609
Iter: 135, mse: 0.0089, rmse: 0.0941, mae: 0.0681
Iter: 136, mse: 0.0108, rmse: 0.1040, mae: 0.0763
Iter: 137, mse: 0.0136, rmse: 0.1164, mae: 0.0856
Iter: 138, mse: 0.0158, rmse: 0.1256, mae: 0.0931
Iter: 139, mse: 0.0171, rmse: 0.1307, mae: 0.1001
Iter: 140, mse: 0.0146, rmse: 0.1208, mae: 0.0891
Iter: 141, mse: 0.0148, rmse: 0.1218, mae: 0.0916
Iter: 142, mse: 0.0139, rmse: 0.1179, mae: 0.0889
Iter: 143, mse: 0.0188, rmse: 0.1370, mae: 0.1121
Iter: 144, mse: 0.0199, rmse: 0.1409, mae: 0.1185
Iter: 145, mse: 0.0252, rmse: 0.1588, mae: 0.1417
Iter: 146, mse: 0.0194, rmse: 0.1394, mae: 0.1162
Iter: 147, mse: 0.0182, rmse: 0.1348, mae: 0.1087
Iter: 148, mse: 0.0176, rmse: 0.1328, mae: 0.1054
Iter: 149, mse: 0.0187, rmse: 0.1367, mae: 0.1086
Iter: 150, mse: 0.0202, rmse: 0.1421, mae: 0.1175
Iter: 151, mse: 0.0191, rmse: 0.1383, mae: 0.1100
Iter: 152, mse: 0.0205, rmse: 0.1430, mae: 0.1164
Iter: 153, mse: 0.0234, rmse: 0.1530, mae: 0.1245
Iter: 154, mse: 0.0264, rmse: 0.1624, mae: 0.1345
Iter: 155, mse: 0.0281, rmse: 0.1677, mae: 0.1400
Iter: 156, mse: 0.0300, rmse: 0.1733, mae: 0.1476
Iter: 157, mse: 0.0337, rmse: 0.1837, mae: 0.1569
Iter: 158, mse: 0.0354, rmse: 0.1883, mae: 0.1635
Iter: 159, mse: 0.0384, rmse: 0.1961, mae: 0.1737
Iter: 160, mse: 0.0404, rmse: 0.2010, mae: 0.1809
Iter: 161, mse: 0.0440, rmse: 0.2099, mae: 0.1910
Iter: 162, mse: 0.0460, rmse: 0.2144, mae: 0.1987
Iter: 163, mse: 0.0470, rmse: 0.2169, mae: 0.2034
Iter: 164, mse: 0.0441, rmse: 0.2099, mae: 0.1950
Iter: 165, mse: 0.0331, rmse: 0.1820, mae: 0.1635
Iter: 166, mse: 0.0208, rmse: 0.1442, mae: 0.1217
Iter: 167, mse: 0.0140, rmse: 0.1183, mae: 0.0922
Iter: 168, mse: 0.0161, rmse: 0.1267, mae: 0.1009
Iter: 169, mse: 0.0138, rmse: 0.1175, mae: 0.1012
Iter: 170, mse: 0.0134, rmse: 0.1157, mae: 0.1044
Iter: 171, mse: 0.0147, rmse: 0.1212, mae: 0.0973
Iter: 172, mse: 0.0179, rmse: 0.1339, mae: 0.1132
Iter: 173, mse: 0.0245, rmse: 0.1564, mae: 0.1284
Iter: 174, mse: 0.0242, rmse: 0.1557, mae: 0.1281
Iter: 175, mse: 0.0253, rmse: 0.1590, mae: 0.1315
Iter: 176, mse: 0.0275, rmse: 0.1657, mae: 0.1373
Iter: 177, mse: 0.0323, rmse: 0.1799, mae: 0.1524
Iter: 178, mse: 0.0358, rmse: 0.1891, mae: 0.1640
Iter: 179, mse: 0.0361, rmse: 0.1900, mae: 0.1649
Iter: 180, mse: 0.0385, rmse: 0.1961, mae: 0.1600
Iter: 181, mse: 0.0446, rmse: 0.2113, mae: 0.1687
Iter: 182, mse: 0.0506, rmse: 0.2250, mae: 0.1851
Iter: 183, mse: 0.0607, rmse: 0.2463, mae: 0.2057
Iter: 184, mse: 0.0649, rmse: 0.2548, mae: 0.2161
Iter: 185, mse: 0.0760, rmse: 0.2756, mae: 0.2312
Iter: 186, mse: 0.0824, rmse: 0.2870, mae: 0.2453
Iter: 187, mse: 0.0888, rmse: 0.2979, mae: 0.2587
Iter: 188, mse: 0.0993, rmse: 0.3151, mae: 0.2765
